"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","1","1","0","0",,,
"2020-03-19","1","1","0","0",,,
"2020-03-20","1","1","0","0",,,
"2020-03-21","1","1","0","0",,,
"2020-03-22","1","1","0","0",,,
"2020-03-23","1","1","0","0",,,
"2020-03-24","1","1","0","0",,,
"2020-03-25","3","3","0","0",,,
"2020-03-26","5","5","0","0",,,
"2020-03-27","8","8","0","0",,,
"2020-03-28","12","12","0","0",,,
"2020-03-29","13","13","0","0",,,
"2020-03-30","15","15","0","0",,,
"2020-03-31","16","16","0","0",,,
"2020-04-01","22","22","0","0",,,
"2020-04-02","31","30","0","1",,,
"2020-04-03","40","39","0","1",,,
"2020-04-04","44","43","0","1",,,
"2020-04-05","51","49","0","2",,,
"2020-04-06","57","54","1","2",,,
"2020-04-07","57","54","1","2",,,
"2020-04-08","67","64","1","2",,,
"2020-04-09","72","67","3","2",,,
"2020-04-10","76","68","6","2",,,
"2020-04-11","86","78","6","2",,,
"2020-04-12","88","80","6","2",,,
"2020-04-13","92","83","7","2",,,
"2020-04-14","92","82","8","2",,,
"2020-04-15","100","90","8","2",,,
"2020-04-16","103","93","8","2",,,
"2020-04-17","104","94","8","2",,,
"2020-04-18","106","94","8","4",,,
"2020-04-19","112","85","23","4",,,
"2020-04-20","113","83","26","4",,,
"2020-04-21","118","88","26","4",,,
"2020-04-22","119","89","26","4",,,
"2020-04-23","119","88","26","5",,,
"2020-04-24","120","81","34","5",,,
"2020-04-25","120","82","33","5",,,
"2020-04-26","121","83","33","5",,,
"2020-04-27","121","52","63","6",,,
"2020-04-28","122","53","63","6",,,
"2020-04-29","122","51","64","7",,,
"2020-04-30","122","45","69","8",,,
"2020-05-01","122","45","69","8",,,
"2020-05-02","122","39","75","8",,,
"2020-05-03","122","39","75","8",,,
"2020-05-04","122","36","78","8",,,
"2020-05-05","122","36","78","8",,,
"2020-05-06","122","30","84","8",,,
"2020-05-07","122","30","84","8",,,
"2020-05-08","122","25","89","8","3","0","1991"
"2020-05-09","122","21","93","8","3","0","2026"
"2020-05-10","122","20","94","8","2","20","2082"
"2020-05-11","122","19","95","8","3","19","2097"
"2020-05-12","122","18","96","8","2","0","2139"
"2020-05-13","122","16","98","8","2","0","2178"
"2020-05-14","122","16","98","8","2","0","2207"
"2020-05-15","122","15","99","8","2","0","2297"
"2020-05-16","122","12","102","8","2","0","2297"
"2020-05-17","122","12","102","8","2","0","2297"
"2020-05-18","122","10","104","8","2","1","2322"
"2020-05-19","122","10","104","8","2","1","2347"
"2020-05-20","122","9","105","8","2","1","2373"
"2020-05-21","122","9","105","8","2","1","2402"
"2020-05-22","122","7","107","8","2","0","2430"
"2020-05-23","122","6","108","8","2","0","2458"
"2020-05-24","122","5","109","8","2","0","2474"
"2020-05-25","122","5","109","8","2","0","2476"
"2020-05-26","122","5","109","8","2","0","2510"
"2020-05-27","122","5","109","8","2","0","2545"
"2020-05-28","122","5","109","8","2","0","2565"
"2020-05-29","122","5","109","8","1","0","2596"
"2020-05-30","122","5","109","8","1","0","2619"
"2020-05-31","122","4","110","8","1","0","2631"
"2020-06-01","122","2","112","8","1","0","2638"
"2020-06-02","122","2","112","8","1","0","2675"
"2020-06-03","122","2","112","8","1","0","2717"
"2020-06-04","122","2","112","8","1","0","2756"
"2020-06-05","122","2","112","8","1","0","2786"
"2020-06-06","122","1","113","8","1","0","2821"
"2020-06-07","122","1","113","8","1","0","2839"
"2020-06-08","122","1","113","8","1","0","2839"
"2020-06-09","122","1","113","8","1","0","2875"
"2020-06-10","122","1","113","8","1","0","2919"
"2020-06-11","122","1","113","8","1","0","2953"
"2020-06-12","122","1","113","8","1","0","2980"
"2020-06-13","122","1","113","8","1","0","3018"
"2020-06-14","122","1","113","8","1","0","3028"
"2020-06-15","122","0","114","8","0","0","3028"
"2020-06-16","122","0","114","8","0","0","3062"
"2020-06-17","122","0","114","8","0","0","3105"
"2020-06-18","122","0","114","8","0","0","3132"
"2020-06-19","122","0","114","8","0","0","3159"
"2020-06-20","122","0","114","8","0","0","3202"
"2020-06-21","122","0","114","8","0","0","3211"
"2020-06-22","122","0","114","8","0","0","3212"
"2020-06-23","122","0","114","8","0","0","3244"
"2020-06-24","122","0","114","8","0","0","3280"
"2020-06-25","122","0","114","8","0","0","3306"
"2020-06-26","122","0","114","8","0","0","3339"
"2020-06-27","122","0","114","8","0","0","3366"
"2020-06-28","122","0","114","8","0","0","3372"
"2020-06-29","122","0","114","8","0","0","3372"
"2020-06-30","122","0","114","8","0","0","3397"
"2020-07-01","122","0","114","8","0","0","3445"
"2020-07-02","122","0","114","8","0","0","3461"
"2020-07-03","122","0","114","8","0","0","3481"
"2020-07-04","122","0","114","8","0","0","3510"
"2020-07-05","122","0","114","8","0","0","3526"
"2020-07-06","122","0","114","8","0","0","3528"
"2020-07-07","122","0","114","8","0","0","3558"
"2020-07-08","122","0","114","8","0","0","3587"
"2020-07-09","122","0","114","8","0","0","3615"
"2020-07-10","122","0","114","8","0","0","3638"
"2020-07-11","122","0","114","8","0","0","3673"
"2020-07-12","123","1","114","8","0","0","3683"
"2020-07-13","124","2","114","8","0","0","3686"
"2020-07-14","124","2","114","8","0","0","3726"
"2020-07-15","125","3","114","8","0","0","3779"
"2020-07-16","125","3","114","8","0","0","3811"
"2020-07-17","126","4","114","8","0","0","3844"
"2020-07-18","126","4","114","8","0","0","3897"
"2020-07-19","126","4","114","8","0","0","4005"
"2020-07-20","126","4","114","8","0","0","4005"
"2020-07-21","126","3","115","8","0","0","4234"
"2020-07-22","126","3","115","8","0","0","4351"
"2020-07-23","127","4","115","8","0","0","4445"
"2020-07-24","127","4","115","8","0","0","4506"
"2020-07-25","127","2","117","8","0","0","4539"
"2020-07-26","129","4","117","8","0","0","4583"
"2020-07-27","129","4","117","8","0","0","4599"
"2020-07-28","129","4","117","8","0","0","4674"
"2020-07-29","135","10","117","8","0","0","4729"
"2020-07-30","137","12","117","8","0","0","4808"
"2020-07-31","139","14","117","8","0","0","4852"
