"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","10","10","0","0",,,
"2020-03-19","10","10","0","0",,,
"2020-03-20","11","11","0","0",,,
"2020-03-21","11","11","0","0",,,
"2020-03-22","11","10","0","1",,,
"2020-03-23","11","10","0","1",,,
"2020-03-24","13","12","0","1",,,
"2020-03-25","13","12","0","1",,,
"2020-03-26","14","13","0","1",,,
"2020-03-27","14","13","0","1",,,
"2020-03-28","15","14","0","1",,,
"2020-03-29","18","17","0","1",,,
"2020-03-30","18","17","0","1",,,
"2020-03-31","19","18","0","1",,,
"2020-04-01","20","19","0","1",,,
"2020-04-02","20","19","0","1",,,
"2020-04-03","24","23","0","1",,,
"2020-04-04","25","23","1","1",,,
"2020-04-05","26","24","1","1",,,
"2020-04-06","26","24","1","1",,,
"2020-04-07","29","27","1","1",,,
"2020-04-08","29","26","2","1",,,
"2020-04-09","33","28","4","1",,,
"2020-04-10","35","29","5","1",,,
"2020-04-11","79","72","5","2",,,
"2020-04-12","90","83","5","2",,,
"2020-04-13","91","84","5","2",,,
"2020-04-14","97","90","5","2",,,
"2020-04-15","107","98","5","4",,,
"2020-04-16","109","100","5","4",,,
"2020-04-17","114","105","5","4",,,
"2020-04-18","120","111","5","4",,,
"2020-04-19","122","103","14","5",,,
"2020-04-20","124","105","14","5",,,
"2020-04-21","131","108","14","9",,,
"2020-04-22","131","108","14","9",,,
"2020-04-23","138","115","14","9",,,
"2020-04-24","140","117","14","9",,,
"2020-04-25","140","117","14","9",,,
"2020-04-26","141","117","15","9",,,
"2020-04-27","146","122","15","9",,,
"2020-04-28","146","120","15","11",,,
"2020-04-29","146","116","15","15",,,
"2020-04-30","146","116","15","15",,,
"2020-05-01","146","116","15","15",,,
"2020-05-02","146","116","15","15",,,
"2020-05-03","146","94","36","16",,,
"2020-05-04","146","94","36","16",,,
"2020-05-05","146","94","36","16",,,
"2020-05-06","147","84","47","16",,,
"2020-05-07","147","82","47","18",,,
"2020-05-08","147","74","55","18","不明","0","2930"
"2020-05-09","147","65","64","18","2","0","3038"
"2020-05-10","147","63","66","18","2","0","3056"
"2020-05-11","147","61","68","18","2","0","3064"
"2020-05-12","147","58","71","18","2","0","3119"
"2020-05-13","147","53","76","18","2","0","3152"
"2020-05-14","147","47","82","18","1","0","3188"
"2020-05-15","147","47","82","18","1","0","3237"
"2020-05-16","147","36","93","18","1","0","3268"
"2020-05-17","147","35","94","18","1","0","3284"
"2020-05-18","147","33","96","18","1","0","3308"
"2020-05-19","148","29","101","18","1","0","3349"
"2020-05-20","148","25","104","19","1","0","3368"
"2020-05-21","148","25","104","19","1","0","3396"
"2020-05-22","149","25","105","19","1","0","3396"
"2020-05-23","149","24","106","19","1","0","3438"
"2020-05-24","149","22","108","19","1","0","3449"
"2020-05-25","149","18","112","19","1","0","3462"
"2020-05-26","149","15","115","19","1","0","3513"
"2020-05-27","149","14","116","19","1","0","3538"
"2020-05-28","149","14","116","19","1","0","3575"
"2020-05-29","149","13","117","19","1","0","3609"
"2020-05-30","149","12","118","19","1","0","3632"
"2020-05-31","149","12","118","19","1","0","3655"
"2020-06-01","149","9","121","19","1","0","3662"
"2020-06-02","149","8","122","19","1","0","3713"
"2020-06-03","149","8","122","19","1","0","3746"
"2020-06-04","149","8","122","19","1","0","3796"
"2020-06-05","151","10","122","19","1","0","3845"
"2020-06-06","151","9","123","19","1","0","3904"
"2020-06-07","151","9","123","19","1","0","3942"
"2020-06-08","151","7","125","19","1","0","3973"
"2020-06-09","151","6","126","19","1","0","4076"
"2020-06-10","151","6","126","19","1","0","4158"
"2020-06-11","151","6","126","19","1","0","4232"
"2020-06-12","151","6","126","19","0","0","4285"
"2020-06-13","151","5","127","19","0","0","4336"
"2020-06-14","151","5","127","19","0","0","4349"
"2020-06-15","151","4","128","19","0","0","4353"
"2020-06-16","151","3","129","19","0","0","4420"
"2020-06-17","151","2","130","19","0","0","4472"
"2020-06-18","151","2","130","19","0","0","4514"
"2020-06-19","151","2","130","19","0","0","4546"
"2020-06-20","151","2","130","19","0","0","4594"
"2020-06-21","151","2","130","19","0","0","4617"
"2020-06-22","151","2","130","19","0","0","4628"
"2020-06-23","151","2","130","19","0","0","4628"
"2020-06-24","152","3","130","19","0","0","4718"
"2020-06-25","152","3","130","19","0","0","4764"
"2020-06-26","152","2","131","19","0","0","4821"
"2020-06-27","152","2","131","19","0","0","4897"
"2020-06-28","152","2","131","19","0","0","4921"
"2020-06-29","152","2","131","19","0","0","4934"
"2020-06-30","153","3","131","19","0","0","5045"
"2020-07-01","153","3","131","19","0","0","5112"
"2020-07-02","153","3","131","19","0","0","5155"
"2020-07-03","154","4","131","19","0","0","5246"
"2020-07-04","154","3","133","19","0","1","5261"
"2020-07-05","155","3","133","19","0","0","5288"
"2020-07-06","155","3","133","19","0","0","5299"
