"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","3","3","0","0",,,
"2020-03-19","3","3","0","0",,,
"2020-03-20","3","2","1","0",,,
"2020-03-21","3","2","1","0",,,
"2020-03-22","3","2","1","0",,,
"2020-03-23","3","2","1","0",,,
"2020-03-24","4","2","2","0",,,
"2020-03-25","4","2","2","0",,,
"2020-03-26","4","2","2","0",,,
"2020-03-27","5","3","2","0",,,
"2020-03-28","6","3","3","0",,,
"2020-03-29","8","5","3","0",,,
"2020-03-30","8","5","3","0",,,
"2020-03-31","8","5","3","0",,,
"2020-04-01","9","6","3","0",,,
"2020-04-02","9","6","3","0",,,
"2020-04-03","10","6","4","0",,,
"2020-04-04","11","7","4","0",,,
"2020-04-05","12","8","4","0",,,
"2020-04-06","14","10","4","0",,,
"2020-04-07","14","11","3","0",,,
"2020-04-08","19","16","3","0",,,
"2020-04-09","21","18","3","0",,,
"2020-04-10","28","25","3","0",,,
"2020-04-11","28","25","3","0",,,
"2020-04-12","29","26","3","0",,,
"2020-04-13","34","30","4","0",,,
"2020-04-14","35","31","4","0",,,
"2020-04-15","36","32","4","0",,,
"2020-04-16","45","41","4","0",,,
"2020-04-17","47","43","4","0",,,
"2020-04-18","47","43","4","0",,,
"2020-04-19","52","48","4","0",,,
"2020-04-20","52","46","6","0",,,
"2020-04-21","54","48","6","0",,,
"2020-04-22","56","50","6","0",,,
"2020-04-23","59","51","8","0",,,
"2020-04-24","67","59","8","0",,,
"2020-04-25","66","58","8","0",,,
"2020-04-26","66","49","17","0",,,
"2020-04-27","66","49","17","0",,,
"2020-04-28","66","49","17","0",,,
"2020-04-29","66","49","17","0",,,
"2020-04-30","66","49","17","0",,,
"2020-05-01","66","49","17","0",,,
"2020-05-02","69","46","23","0",,,
"2020-05-03","70","47","23","0",,,
"2020-05-04","72","44","28","0",,,
"2020-05-05","72","44","28","0",,,
"2020-05-06","73","41","32","0",,,
"2020-05-07","73","39","34","0",,,
"2020-05-08","74","37","37","不明","2","0","2054"
"2020-05-09","74","37","37","-","2","0","2054"
"2020-05-10","74","37","37","-","2","0","2054"
"2020-05-11","75","27","48","-","2","0","2199"
"2020-05-12","75","25","50","-","2","0","2216"
"2020-05-13","76","25","51","-","2","0","2247"
"2020-05-14","76","25","51","-","2","0","2285"
"2020-05-15","76","24","52","-","2","0","2324"
"2020-05-16","76","24","52","-","2","0","2324"
"2020-05-17","76","24","52","-","2","0","2324"
"2020-05-18","76","22","54","-","1","0","2433"
"2020-05-19","76","21","55","-","1","0","2450"
"2020-05-20","76","21","55","-","1","0","2492"
"2020-05-21","76","17","59","-","1","0","2524"
"2020-05-22","76","16","60","-","1","0","2552"
"2020-05-23","76","16","60","-","1","0","2552"
"2020-05-24","76","16","60","-","1","0","2589"
"2020-05-25","76","12","64","-","1","0","2605"
"2020-05-26","76","11","65","-","1","0","2610"
"2020-05-27","76","11","65","-","1","0","2630"
"2020-05-28","76","10","66","-","1","0","2662"
"2020-05-29","76","9","67","-","1","0","2674"
"2020-05-30","76","7","69","-","1","0","2701"
"2020-05-31","76","7","69","-","1","0","2714"
"2020-06-01","76","7","69","-","0","0","2727"
"2020-06-02","76","5","71","-","0","0","2733"
"2020-06-03","76","5","71","-","0","0","2766"
"2020-06-04","76","5","71","-","0","0","2801"
"2020-06-05","76","5","71","-","0","0","2818"
"2020-06-06","76","5","71","-","0","0","2839"
"2020-06-07","76","5","71","-","0","0","2865"
"2020-06-08","76","5","71","-","0","0","2889"
"2020-06-09","76","5","71","-","0","0","2901"
"2020-06-10","76","4","72","-","0","0","2930"
"2020-06-11","76","4","72","-","0","0","2957"
"2020-06-12","76","4","72","-","0","0","2983"
"2020-06-13","76","3","73","-","0","0","2995"
"2020-06-14","76","3","73","-","0","0","3015"
"2020-06-15","76","1","75","-","0","0","3021"
"2020-06-16","76","1","75","-","0","0","3026"
"2020-06-17","76","1","75","-","0","0","3045"
"2020-06-18","76","1","75","-","0","0","3063"
"2020-06-19","77","2","75","-","0","0","3088"
"2020-06-20","77","2","75","-","0","0","3105"
"2020-06-21","77","2","75","-","0","0","3127"
"2020-06-22","77","2","75","-","0","0","3139"
"2020-06-23","77","2","75","-","0","0","3141"
"2020-06-24","77","2","75","-","0","0","3166"
"2020-06-25","77","2","75","-","0","0","3188"
"2020-06-26","77","1","76","-","0","0","3210"
"2020-06-27","77","1","76","-","0","0","3227"
"2020-06-28","77","1","76","-","0","0","3255"
"2020-06-29","77","1","76","-","0","0","3264"
"2020-06-30","77","1","76","-","0","0","3270"
"2020-07-01","77","1","76","-","0","0","3292"
"2020-07-02","77","1","76","-","0","0","3312"
"2020-07-03","77","1","76","-","0","0","3334"
"2020-07-04","77","1","76","-","0","0","3351"
"2020-07-05","77","1","76","-","0","0","3367"
"2020-07-06","77","1","76","-","0","0","3380"
"2020-07-07","77","1","76","-","0","0","3382"
"2020-07-08","77","1","76","-","0","0","3411"
"2020-07-09","77","1","76","-","0","0","3434"
"2020-07-10","77","1","76","-","0","0","3454"
"2020-07-11","77","1","76","-","0","0","3472"
"2020-07-12","78","2","76","-","0","0","3485"
"2020-07-13","79","3","76","-","0","0","4564"
"2020-07-14","79","3","76","-","0","0","4640"
"2020-07-15","80","4","76","-","0","0","4878"
"2020-07-16","81","5","76","-","0","0","4972"
"2020-07-17","83","7","76","-","0","0","5055"
"2020-07-18","84","7","76","-","0","1","5055"
"2020-07-19","84","7","76","-","0","1","5055"
"2020-07-20","84","7","77","-","0","0","5206"
"2020-07-21","86","9","77","-","0","0","5343"
"2020-07-22","86","9","77","-","0","0","5467"
"2020-07-23","86","9","77","-","0","0","5531"
"2020-07-24","87","10","77","-","0","0","5557"
"2020-07-25","88","11","77","-","0","0","5565"
"2020-07-26","92","13","79","-","0","0","5737"
"2020-07-27","92","12","80","-","0","0","6050"
"2020-07-28","98","17","81","-","0","0","6331"
"2020-07-29","102","20","82","-","0","0","6593"
"2020-07-30","103","21","82","-","0","0","6903"
"2020-07-31","105","22","83","-","0","0","7146"
"2020-08-01","111","28","83","-","0","0","7279"
"2020-08-02","117","34","83","-","0","0","7631"
"2020-08-03","119","36","83","-","0","0","7992"
"2020-08-04","122","32","90","-","0","0","8435"
"2020-08-05","125","35","90","-","0","0","8679"
"2020-08-06","126","34","92","-","0","0","9003"
"2020-08-07","127","32","95","-","0","0","9249"
"2020-08-08","127","32","95","-","0","0","9345"
"2020-08-09","131","34","97","-","0","0","9389"
"2020-08-10","132","35","97","-","0","0","9479"
"2020-08-11","134","34","100","-","0","0","9824"
"2020-08-12","139","35","104","-","0","0","10103"
"2020-08-13","140","29","111","-","0","0","10347"
"2020-08-14","145","34","111","-","0","0","10585"
"2020-08-15","148","35","114","-","0","1","10614"
"2020-08-16","148","34","115","-","0","1","10650"
"2020-08-17","149","31","119","-","0","1","10909"
"2020-08-18","150","28","126","-","0","4","11135"
"2020-08-19","152","28","128","-","0","4","11362"
"2020-08-20","154","28","130","-","0","4","11605"
"2020-08-21","163","33","131","-","0","1","11885"
"2020-08-22","169","30","143","-","1","4","11944"
"2020-08-23","172","31","145","-","1","4","11995"
"2020-08-24","183","37","149","-","1","3","12334"
"2020-08-25","185","39","150","-","1","4","12600"
"2020-08-26","194","48","150","-","1","4","12806"
"2020-08-27","200","52","152","-","1","4","13037"
"2020-08-28","219","67","155","-","0","3","13506"
"2020-08-29","237","86","155","-","0","4","13673"
"2020-08-30","249","87","155","-","0","7","13898"
"2020-08-31","256","85","170","-","0","1","14181"
"2020-09-01","261","80","180","-","0","1","14562"
"2020-09-02","268","76","196","1","0","5","14878"
"2020-09-03","280","78","206","1","1","5","15156"
"2020-09-04","284","71","217","1","0","5","15619"
"2020-09-05","286","65","226","1","0","6","15833"
"2020-09-06","287","62","230","1","0","6","15974"
"2020-09-07","290","48","246","1","0","5","16285"
"2020-09-08","292","39","258","1","0","6","16526"
"2020-09-09","293","33","265","1","0","6","16712"
"2020-09-10","295","29","271","1","0","6","16893"
"2020-09-11","296","26","272","1","1","3","17030"
"2020-09-12","296","24","277","1","1","6","17030"
"2020-09-13","296","24","277","1","1","6","17030"
"2020-09-14","296","18","283","1","0","6","17264"
"2020-09-15","297","17","285","1","0","6","17391"
"2020-09-16","299","16","288","1","0","6","17601"
"2020-09-17","299","13","291","1","0","6","17768"
"2020-09-18","299","8","296","1","0","6","17873"
"2020-09-19","301","10","296","1","0","6","17873"
"2020-09-20","301","9","297","1","0","6","17873"
"2020-09-21","303","10","298","1","0","6","17873"
"2020-09-22","303","10","298","1","0","6","17873"
"2020-09-23","303","9","299","1","0","6","18172"
"2020-09-24","303","7","301","1","0","6","18305"
"2020-09-25","303","7","301","1","0","6","18446"
"2020-09-26","303","7","301","1","0","6","18446"
"2020-09-27","305","9","301","1","0","6","18446"
"2020-09-28","305","5","305","1","0","6","18662"
"2020-09-29","305","4","306","1","0","6","18821"
"2020-09-30","306","5","306","1","0","6","18932"
"2020-10-01","310","8","307","1","0","6","19045"
"2020-10-02","311","9","307","1","0","6","19157"
"2020-10-03","312","10","307","1","0","6","19157"
"2020-10-04","313","11","307","1","0","6","19157"
"2020-10-05","313","11","307","1","0","6","19422"
"2020-10-06","313","8","301","1","0","3","19595"
"2020-10-07","316","11","304","1","0","0","19797"
"2020-10-08","317","12","304","1","0","0","19906"
"2020-10-09","318","11","306","1","0","0","20010"
"2020-10-10","320","13","306","1","0","0","20010"
"2020-10-11","320","12","307","1","0","0","20010"
"2020-10-12","320","9","310","1","0","0","20176"
"2020-10-13","320","6","313","2","0","1","20367"
"2020-10-14","320","4","315","3","0","2","20539"
"2020-10-15","320","4","315","3","0","2","20700"
"2020-10-16","323","7","315","3","0","2","20863"
"2020-10-17","326","8","317","4","0","3","20863"
"2020-10-18","326","8","317","4","0","3","20863"
"2020-10-19","326","8","317","4","1","3","21163"
"2020-10-20","326","7","318","4","1","3","21361"
"2020-10-21","327","8","319","4","1","4","21561"
"2020-10-22","329","10","319","4","1","4","21738"
"2020-10-23","330","11","319","4","1","4","22077"
"2020-10-24","330","11","319","4","1","4","22077"
"2020-10-25","330","11","319","4","1","4","22077"
"2020-10-26","334","9","324","4","1","3","22342"
"2020-10-27","334","7","326","4","1","3","22491"
"2020-10-28","335","8","326","4","1","3","22681"
"2020-10-29","338","9","328","4","0","3","22862"
"2020-10-30","339","9","329","4","0","3","23025"
"2020-10-31","341","11","329","4","0","3","23025"
"2020-11-01","343","10","332","6","0","5","23025"
"2020-11-02","344","10","333","6","0","5","23290"
"2020-11-03","349","15","333","6","0","5","23290"
"2020-11-04","350","13","336","6","0","5","23785"
"2020-11-05","350","12","337","6","0","5","23957"
"2020-11-06","351","12","338","6","0","5","24098"
"2020-11-07","357","18","338","6","0","5","24098"
"2020-11-08","370","29","340","6","0","5","24098"
"2020-11-09","384","41","342","6","0","5","24461"
"2020-11-10","387","44","342","6","0","5","24812"
"2020-11-11","393","49","343","6","0","5","25014"
"2020-11-12","406","61","344","6","0","5","25291"
"2020-11-13","429","84","344","6","0","5","25663"
"2020-11-14","448","102","345","6","0","5","25663"
"2020-11-15","461","115","345","6","0","5","25663"
"2020-11-16","471","117","353","6","0","5","26206"
"2020-11-17","495","131","363","6","0","5","26580"
"2020-11-18","525","149","375","6","0","5","27127"
"2020-11-19","545","155","389","6","0","5","27444"
"2020-11-20","567","165","401","6","0","5","27741"
"2020-11-21","592","175","416","6","0","5","27741"
"2020-11-22","606","169","436","6","0","5","27741"
"2020-11-23","618","177","440","6","0","5","27741"
"2020-11-24","629","117","473","6","0","33","28896"
"2020-11-25","638","102","506","6","0","24","29443"
"2020-11-26","654","99","524","6","0","25","29788"
"2020-11-27","670","107","534","6","0","23","30587"
"2020-11-28","691","110","556","6","0","19","30587"
"2020-11-29","703","111","565","6","0","21","30587"
"2020-11-30","718","104","587","6","0","21","31328"
"2020-12-01","736","95","613","6","0","22","31976"
"2020-12-02","748","97","631","6","0","14","32320"
"2020-12-03","760","95","638","6","0","21","32727"
"2020-12-04","774","94","653","6","1","21","33056"
"2020-12-05","786","100","655","6","2","25","33056"
"2020-12-06","803","112","657","6","3","28","33056"
"2020-12-07","823","96","682","6","3","39","33920"
"2020-12-08","838","108","695","6","4","29","34537"
"2020-12-09","863","117","712","6","4","28","34907"
"2020-12-10","892","126","729","6","3","31","35313"
"2020-12-11","909","128","743","6","3","32","35844"
"2020-12-12","941","148","745","6","4","42","35844"
"2020-12-13","957","155","750","6","4","46","35844"
"2020-12-14","977","165","766","6","4","40","36749"
"2020-12-15","991","151","788","7","5","45","38731"
"2020-12-16","1006","149","810","7","6","40","39493"
"2020-12-17","1013","143","826","7","7","37","40050"
"2020-12-18","1023","138","851","9","7","25","40462"
"2020-12-19","1033","138","855","9","7","31","40462"
"2020-12-20","1046","140","861","10","6","35","40462"
"2020-12-21","1050","111","910","11","5","18","41682"
"2020-12-22","1053","104","925","11","5","13","42266"
"2020-12-23","1061","92","941","11","4","17","42671"
"2020-12-24","1071","101","965","12","2","7","44772"
"2020-12-25","1088","104","979","13","2","8","45163"
"2020-12-26","1105","113","984","13","2","5","45163"
"2020-12-27","1126","132","991","13","2","10","45163"
"2020-12-28","1129","121","1005","13","3","10","46746"
"2020-12-29","1140","123","1014","14","3","11","47294"
"2020-12-30","1163","139","1021","15","4","12","47545"
"2020-12-31","1183","151","1029","15","4","12","47545"
"2021-01-01","1206","164","1039","15","4","12","48235"
"2021-01-02","1217","164","1049","16","3","12","48235"
"2021-01-03","1242","182","1057","16","3","13","48235"
