"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","3","2","1","0",,,
"2020-03-19","3","2","1","0",,,
"2020-03-20","3","2","1","0",,,
"2020-03-21","3","2","1","0",,,
"2020-03-22","3","2","1","0",,,
"2020-03-23","3","2","1","0",,,
"2020-03-24","3","2","1","0",,,
"2020-03-25","3","1","2","0",,,
"2020-03-26","3","1","2","0",,,
"2020-03-27","3","1","2","0",,,
"2020-03-28","4","2","2","0",,,
"2020-03-29","4","2","2","0",,,
"2020-03-30","4","2","2","0",,,
"2020-03-31","6","3","3","0",,,
"2020-04-01","6","3","3","0",,,
"2020-04-02","6","3","3","0",,,
"2020-04-03","8","5","3","0",,,
"2020-04-04","10","7","3","0",,,
"2020-04-05","10","7","3","0",,,
"2020-04-06","10","7","3","0",,,
"2020-04-07","10","7","3","0",,,
"2020-04-08","15","12","3","0",,,
"2020-04-09","16","13","3","0",,,
"2020-04-10","34","31","3","0",,,
"2020-04-11","39","36","3","0",,,
"2020-04-12","41","38","3","0",,,
"2020-04-13","46","43","3","0",,,
"2020-04-14","46","43","3","0",,,
"2020-04-15","47","44","3","0",,,
"2020-04-16","48","43","5","0",,,
"2020-04-17","51","46","5","0",,,
"2020-04-18","50","42","8","0",,,
"2020-04-19","52","44","8","0",,,
"2020-04-20","52","44","8","0",,,
"2020-04-21","53","41","12","0",,,
"2020-04-22","57","44","13","0",,,
"2020-04-23","58","45","13","0",,,
"2020-04-24","59","46","13","0",,,
"2020-04-25","62","49","13","0",,,
"2020-04-26","63","50","13","0",,,
"2020-04-27","64","51","13","0",,,
"2020-04-28","67","43","24","0",,,
"2020-04-29","68","44","24","0",,,
"2020-04-30","72","47","24","1",,,
"2020-05-01","73","48","24","1",,,
"2020-05-02","73","48","24","1",,,
"2020-05-03","73","48","24","1",,,
"2020-05-04","73","48","24","1",,,
"2020-05-05","73","48","24","1",,,
"2020-05-06","73","30","42","1",,,
"2020-05-07","73","30","42","1",,,
